"ID",Profile Name,Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
019a1b50-87de-7ff8-a055-4ce5c21fb6b0,Another Demi,5000.00,Deposit to Such pug savings plan,processing,debit,TW4C7Q714GW1,TW4C7Q714GW1,10/25/25
01972090-9058-7336-98cf-86f15886f1af,Friesen - Keeling,49890.00,,success,credit,T13E9K8DW4FH,T13E9K8DW4FH,5/30/25
01977f98-367c-744e-8dcd-d5b137b6b075,Friesen - Keeling,0.00,,failed,credit,T5937CYVBYBV,T5937CYVBYBV,6/17/25
01963607-c618-7bb6-aac3-f16b84156d87,Profile,133.00,Sodiq,success,debit,T6RQEG3QWOWJ,T6RQEG3QWOWJ,4/14/25
01963607-c68c-7bb6-aac4-0764bb706d9f,Profile,133.00,Sodiq,success,debit,TPIWX1R7WLFY,TPIWX1R7WLFY,4/14/25
01963607-c9a9-7bb6-aac4-204101ce348d,Profile,10.00,Sodiq,success,debit,TM7A00VXJCWA,TM7A00VXJCWA,4/14/25
0199a522-cf23-7bb7-b72f-7cb2313cd078,Demi Ode,50000.00,,failed,debit,TIUJ7W26PRPT,TIUJ7W26PRPT,10/2/25
01970207-f0df-7ccc-992a-ae7ca5177a69,Friesen - Keeling,100.00,Nothing,success,debit,T0Y3RV00W0R8,T0Y3RV00W0R8,5/24/25
01970207-f104-7ccc-992a-c62e519b869e,Friesen - Keeling,10.00,Nothing,success,debit,T0Y3RV00W0R8,T0Y3RV00W0R8,5/24/25
01972092-2f74-7aad-b8df-3707c412cf06,Friesen - Keeling,50000.00,,success,credit,TWSSRTW69AIK,TWSSRTW69AIK,5/30/25
01963607-c9b4-7bb6-aac4-37b9e0171518,Profile,10.00,Sodiq,success,debit,T6RQEG3QWOWJ,T6RQEG3QWOWJ,4/14/25
01977f98-e376-7dd5-b7f6-50128dc3a00b,Caesar sage,0.00,,failed,credit,T2LCDXMBAZY0,T2LCDXMBAZY0,6/17/25
01963607-c700-7bb6-aac4-1766a2e530f9,Profile,133.00,Sodiq,success,debit,TM7A00VXJCWA,TM7A00VXJCWA,4/14/25
0196a715-d77d-7bbe-a0f8-98a317538755,Friesen - Keeling,1.00,,success,debit,T18QP43WZ8EI,T18QP43WZ8EI,5/6/25
0198b556-312f-7779-92cf-585f31c02bc3,Caesar sage,13.00,,failed,debit,TY2VGXASSO6D,TY2VGXASSO6D,8/17/25
