Name,Type,Status,Timestamp,first_name,last_name,nin,identification,gender,random,business_name,profileId,fields,business-address,business-phone,id-type,business-types,business-email,business_address,business_phone,id_type,business_types,business_email,phone_number,email,phone,formState
Azeez-Profile,personal,active,10/5/24,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,,,,,,
Gambo,personal,active,11/19/24,Gambo,Usman,,National ID card,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/15/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/4/24,,,,,male,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/10/24,Tonye,Greene,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,,,,,,,,,,,,,,,,,,,,,,,
rasheedat,personal,active,11/13/24,rasheedat,ajidagba,,,,,,,,,,,,,,,,,,,,,
unyime,personal,active,11/18/24,unyime,tommy,,,,,,,,,,,,,,,,,,,,,
Azeez-Profile,personal,active,10/5/24,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,,,,,,
Fred,personal,active,11/21/24,Fred,Teslim,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
John,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonyw,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Jerry,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,Male,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,Male,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,Male,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/22/24,,,,,Male,,,,,,,,,,,,,,,,,,
Gambo,personal,active,11/22/24,,,,,Female,,,,,,,,,,,,,,,,,,
Tolu,personal,active,11/22/24,,,,,Male,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/1/24,Rasheedat,Ajidagba,,,,,,,,,,,,,,,,,,,,,
Adex,personal,active,11/19/24,Adex,Praise,,,,,,,,,,,,,,,,,,,,,
Gambo,personal,active,11/25/24,,,,,Female,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/25/24,Habeeb,Habeeb,1234567890,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/25/24,habeeb,seun,,,,,,,,,,,,,,,,,,,,,
,personal,active,11/7/24,Olamide,Micheal,,,,,,019308ee-9025-7cca-a550-970e8dd19d5e,,Address,1231211211,National ID card,Sole Proprietorship,hab@gmail.com,,,,,,07084385638,,,
Tonye,personal,active,11/26/24,,,,,male,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Kogi,state,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/2/24,HabeebA,LawalA,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Ibrahim,Azeez,,,Male,,,,,,,,,,,,,,,,azeez@assurdly.com,09055755671,
Profile,personal,active,12/4/24,Ibrahim,Azeez,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Gambo,Usman,,,Female,,,,,,,,,,,,,,,,gambo+20@assurdly.com,08162771727,
Profile,personal,active,12/5/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/13/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,2348089722636,,,random,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,2348089722636,,,random,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,2348089722636,,,random,,,,,,,,,
