Name,Type,Status,Timestamp,gender,first_name,last_name,nin,business_address,business_phone,id_type,business_types,business_email,rc_number,business_name,business-address,business-phone,id-type,business-types,business-email,busines-email,rc-number,business-name
wunmi,business,inactive,11/5/24,1234567890,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,,Rasheedat,Ajidagba,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,,Ibrahim,Azeez,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,,Ibrahim,Azeez,,,,,,,,,,,,,,,,
Azeez-Business,business,active,10/6/24,,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,
wunmi,business,active,11/13/24,,Adex,Brown,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,10/4/24,,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,
Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Gambo Usman,business,active,11/24/24,Female,,,,Gambo Ltd.,08162771727,National ID card,Sole Proprietorship,gamboltd@yopmail.com,,,,,,,,,,
Last ,business,active,11/23/24,Male,,,,address,07060591341,National ID card,Cooperative (Co-op),email@gmail.com,123456,My name,,,,,,,,
Tutu,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Habeeb 2 Busi,business,active,11/23/24,Male,,,,coaddress,07060591341,National ID card,Cooperative (Co-op),co@gmail.com,123456,Hab,,,,,,,,
Gambo Usman,business,active,11/24/24,Female,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,,,,,,,,,,
Gambo Usman,business,active,11/24/24,Female,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,,,,,,,,,,
Gambo Usman,business,active,11/24/24,Female,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,,,,,,,,,,
Gambo Usman,business,active,11/24/24,Female,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,,,,,,,,,,
Profile,business,active,11/24/24,,Testing,Sunday,1234567890,,,,,,,,,,,,,,,
Naima,business,active,11/25/24,Male,,,,,,,,,,,Address,08162771727,NIN,Sole proprietorship,business@gmail.com,,,
Habeeb,business,active,11/25/24,,,,,Hab address,07060121212,National ID card,,hab@gmail.com,,,,,,,,,,
Profile,business,active,11/25/24,Male,,,,,,,,,,,,,,,,,,
The Best,business,active,11/26/24,,Azeez,Ibrahim,,,,,,,,,,,,,,,,
aji bukola,business,active,11/26/24,Female,,,,"irewolede, martin ojo street",08135194520,National ID card,Partnership,rasheedat+5@assurdly.com,,,,,,,,,,
aji bukola,business,active,11/26/24,Female,,,,"irewolede, martin ojo street",08135194520,National ID card,Partnership,rasheedat+5@assurdly.com,,,,,,,,,,
Neem,business,active,11/26/24,,,,,,,,,,,,,,,,,,,
The Best,business,active,11/27/24,,RasheedatBus,AJI,,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,,RasheedatBus,AJI,1234567899,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,,AJI,Rasheedat1,1234567899,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,,,,,Address,07053121212,,Partnership,h@gmail.com,0000000,Hab Busi,,,,,,,,
wunmi,business,active,11/29/24,,,,,,,,,,,,,,,,,,,
Habeeb,business,inactive,11/25/24,,,,,Hab address,07060121212,National ID card,,hab@gmail.com,,,,,,,,,,
Profile,business,active,12/3/24,,,,,Address,07060121211,,Partnership,b@gmail.com,123456,Business Name,,,,,,,,
Profile,business,active,12/2/24,,,,,"Irewole, Kwara State",08135194520,,Partnership,rasheedat+15@gmail.com,Neem,Rashco,,,,,,,,
