Name,Type,Status,Timestamp,first_name,last_name,nin,gender,business-name,random,business_name,email,phone,formState,business-phone,business-email,profileId,fields,business-address,id-type,business-types,business_address,business_phone,id_type,business_types,business_email,phone_number,identification
Tonye,personal,active,11/10/24,Tonye,Greene,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,,,,,,,,,,,,,,,,,,,,,,,,
rasheedat,personal,active,11/13/24,rasheedat,ajidagba,,,,,,,,,,,,,,,,,,,,,,
unyime,personal,active,11/18/24,unyime,tommy,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/4/24,,,,male,Armstrong - Ratke,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/1/24,Rasheedat,Ajidagba,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/2/24,HabeebA,LawalA,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Ibrahim,Azeez,,Male,,,,azeez@assurdly.com,09055755671,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Ibrahim,Azeez,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Gambo,Usman,,Female,,,,gambo+20@assurdly.com,08162771727,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
Janet Adefeyisan,personal,active,1/15/25,,,,,,,,,,,,,,,,,,,,,,,,
