Name,Type,Status,Timestamp,first_name,last_name,nin,business-types,rc-number,business-name,business-address,business-email,business_address,business_phone,id_type,business_types,business_email,gender,rc_number,business_name,business-phone,busines-email,id-type
wunmi,business,inactive,11/7/24,,,,,,,,,,,,,,,,,,,
Neem,business,active,11/26/24,,,,,,,,,,,,,,,,,,,
The Best,business,active,11/27/24,RasheedatBus,AJI,,,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,RasheedatBus,AJI,1234567899,,,,,,,,,,,,,,,,
Profile,business,active,1/14/25,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,,,
Profile,business,active,11/27/24,AJI,Rasheedat1,1234567899,,,,,,,,,,,,,,,,
Last ,business,active,11/23/24,,,,,,,,,address,07060591341,National ID card,Cooperative (Co-op),email@gmail.com,Male,123456,My name,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,Female,,,,,
Profile,business,active,11/24/24,Testing,Sunday,1234567890,,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,,,,,,,,,Address,07053121212,,Partnership,h@gmail.com,,0000000,Hab Busi,,,
Gambo Usman,business,blacklisted,11/24/24,,,,,,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,Female,,,,,
Habeeb,business,inactive,11/25/24,,,,,,,,,Hab address,07060121212,National ID card,,hab@gmail.com,,,,,,
Habeeb,business,active,11/23/24,,,,,,,,,haddress,1234567890,National ID card,Corporation,ha@gmail.com,Male,123456,Habee,,,
Profile,business,active,12/4/24,,,,,,,,,"Irewole, Kwara State",08135194520,,Partnership,rasheedat+26@gmail.com,,0000000,Rashco,,,
Profile,business,active,12/3/24,,,,,,,,,,,,Partnership,,,Neem,,,,
Profile,business,blacklisted,12/3/24,,,,,,,,,Address,07060121211,,Partnership,b@gmail.com,,123456,Business Name,,,
Profile,business,active,12/6/24,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,Partnership,hi@neem.co,,0000000,Neem,,,
Profile,business,active,12/2/24,,,,,,,,,"Irewole, Kwara State",08135194520,,Partnership,rasheedat+15@gmail.com,,Neem,Rashco,,,
Profile,business,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,random,
Profile,business,active,12/7/24,,,,,,,,random,,,,,,,,,2348089722636,,
Profile,business,active,12/12/24,,,,Sole Proprietorship,Neem,,,,,,,,,,,,,,
Profile,business,active,12/11/24,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,+2347039627810,,
Profile,business,active,1/15/25,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,,,
Profile,business,active,12/8/24,,,,Partnership,0000000,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,+2349055755671,,
Profile,business,active,12/13/24,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,+2347039627810,,
Profile,business,active,12/16/24,,,,Partnership,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,+2349055755671,,
Profile,business,active,12/16/24,,,,Partnership,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,,,
Profile,business,active,1/15/25,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,,,
Profile,business,active,12/16/24,,,,Limited Liability Partnership (LLP),0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,,,
Profile,business,active,12/19/24,,,,Partnership,Neem,,,,,,,,,,,,,,
Profile,business,active,12/23/24,,,,Cooperative (Co-op),Neem,,,,,,,,,,,,,,
Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/30/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/7/25,,,,Partnership,123455,Janne venture,yhedhhd,test@jane.co,,,,,,,,,+23408023838488,,
Profile,business,active,12/30/24,,,,Sole Proprietorship,1234848487474,Yisau Enterprises,Sweet Sensation,abdussamadenterprise@gmail.com,,,,,,,,,+2349133779826,,
Profile,business,active,12/30/24,,,,Sole Proprietorship,12388886586868,Yisau Enterprises,High-rise Block B,abdussamad@gmail.com,,,,,,,,,+2349133779814,,
Profile,business,active,12/30/24,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,+2348123884099,,
Profile,business,active,12/31/24,,,,Limited Liability Partnership (LLP),0000000,Testing Business,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,+2349056789012,,
Profile,business,active,1/15/25,,,,Limited Liability Partnership (LLP),4567876,Faill,2 kene street,frill@yopmail.com,,,,,,,,,+23438096590,,
Habeeb 2 Busi,business,active,11/23/24,,,,,,,,,coaddress,07060591341,National ID card,Cooperative (Co-op),co@gmail.com,Male,123456,Hab,,,
Tutu,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,Female,,,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Gambo street,08162771727,National ID card,Partnership,gamboltd@yopmail.com,Female,,,,,
Naima,business,active,11/25/24,,,,Sole proprietorship,,,Address,business@gmail.com,,,,,,Male,,,08162771727,,NIN
Habeeb,business,active,11/25/24,,,,,,,,,Hab address,07060121212,National ID card,,hab@gmail.com,,,,,,
Profile,business,active,1/15/25,,,,Limited Liability Partnership (LLP),4567876,Faill,2 kene street,frill@yopmail.com,,,,,,,,,+23438096590,,
Profile,business,active,11/25/24,,,,,,,,,,,,,,Male,,,,,
The Best,business,active,11/26/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,
aji bukola,business,active,11/26/24,,,,,,,,,"irewolede, martin ojo street",08135194520,National ID card,Partnership,rasheedat+5@assurdly.com,Female,,,,,
aji bukola,business,active,11/26/24,,,,,,,,,"irewolede, martin ojo street",08135194520,National ID card,Partnership,rasheedat+5@assurdly.com,Female,,,,,
Profile,business,active,1/9/25,,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,+2348089722636,,
Profile,business,active,1/15/25,,,,Limited Liability Partnership (LLP),4567876,Faill,2 kene street,frill@yopmail.com,,,,,,,,,+23438096590,,
Profile,business,active,1/15/25,,,,Nonprofit Organization,4567877,thank you,2 kene street,thank@yopmail.com,,,,,,,,,+23438096643,,
Profile,business,active,1/9/25,,,,Sole Proprietorship,0000000,Faill,2 kene street,dreaa@yopmail.com,,,,,,,,,+23438092123,,
Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/10/25,,,,Sole Proprietorship,12345678,Testing Company,"42 Hughes Avenue, Alagomeji, Yaba",testing@gmail.com,,,,,,,,,+23409133779814,,
Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/31/24,,,,Partnership,1234567,Testing manual business,Eko Bridge,testingmanualbusiness@mailinator.com,,,,,,,,,+2349087654312,,
Profile,business,active,1/2/25,,,,Partnership,0000000,Neem,2 kene street,neem@yopmail.com,,,,,,,,,+23438096579,,
Profile,business,active,1/2/25,,,,Limited Liability Partnership (LLP),0000000,Fail,2 kene stret lagos,frail@yopmail.com,,,,,,,,,+23438096599,,
Profile,business,active,1/3/25,,,,Limited Liability Partnership (LLP),0000000,Fail,2 kene street,fraiil@yopmail.com,,,,,,,,,+23438096578,,
wunmi,business,active,10/4/24,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,,
wunmi,business,active,11/29/24,,,,,,,,,,,,,,,,,,,
Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Gambo Ltd.,08162771727,National ID card,Sole Proprietorship,gamboltd@yopmail.com,Female,,,,,
Bayer LLC Personal Account,business,active,1/10/25,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/10/25,,,,Sole Proprietorship,3335455⁶,,,,,,,,,,,,,,
My business,business,active,1/12/25,,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,+2348089722636,,
My business,business,active,1/12/25,,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,+2348089722636,,
Profile,business,active,1/13/25,,,,Sole Proprietorship,0000000,Neem,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",hi@neem.co,,,,,,,,,,,
wunmi,business,active,11/11/24,Rasheedat,Ajidagba,,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,Ibrahim,Azeez,,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,Ibrahim,Azeez,,,,,,,,,,,,,,,,,
Azeez-Business,business,active,10/6/24,Azeez,Ibrahim,1234567890,,,,,,,,,,,,,,,,
wunmi,business,active,11/5/24,,,,,,,,,,,,,,1234567890,,,,,
wunmi,business,active,11/13/24,Adex,Brown,,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/5/24,,,,,,,,,,,,,,,,,,,
Naima,business,active,11/25/24,,,,,,,,,Naima.Inc,08162771727,National ID card,Cooperative (Co-op),naima1905@gmail.com,Female,,,,,
