Name,Type,Status,Timestamp,business-types,last_name,first_name,nin,rc-number,business-name,business-email,business-address,gender,id_type,rc_number,business_name,business_email,business_phone,business_types,business_address,busines-email,business-phone,id-type
Neem,business,active,11/26/24,,,,,,,,,,,,,,,,,,,
The Best,business,active,11/27/24,,AJI,RasheedatBus,,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,,AJI,RasheedatBus,1234567899,,,,,,,,,,,,,,,
Profile,business,active,1/14/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,11/27/24,,Rasheedat1,AJI,1234567899,,,,,,,,,,,,,,,
Last ,business,active,11/23/24,,,,,,,,,Male,National ID card,123456,My name,email@gmail.com,07060591341,Cooperative (Co-op),address,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
Profile,business,active,11/24/24,,Sunday,Testing,1234567890,,,,,,,,,,,,,,,
Profile,business,active,11/27/24,,,,,,,,,,,0000000,Hab Busi,h@gmail.com,07053121212,Partnership,Address,,,
Gambo Usman,business,blacklisted,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
Habeeb,business,inactive,11/25/24,,,,,,,,,,National ID card,,,hab@gmail.com,07060121212,,Hab address,,,
Habeeb,business,active,11/23/24,,,,,,,,,Male,National ID card,123456,Habee,ha@gmail.com,1234567890,Corporation,haddress,,,
Profile,business,active,12/4/24,,,,,,,,,,,0000000,Rashco,rasheedat+26@gmail.com,08135194520,Partnership,"Irewole, Kwara State",,,
Profile,business,active,12/3/24,,,,,,,,,,,Neem,,,,Partnership,,,,
Profile,business,blacklisted,12/3/24,,,,,,,,,,,123456,Business Name,b@gmail.com,07060121211,Partnership,Address,,,
Profile,business,active,12/6/24,,,,,,,,,,,0000000,Neem,hi@neem.co,,Partnership,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,
Profile,business,active,12/2/24,,,,,,,,,,,Neem,Rashco,rasheedat+15@gmail.com,08135194520,Partnership,"Irewole, Kwara State",,,
Profile,business,active,12/7/24,,,,,,,,,,,,,,,,,random,2348089722636,
Profile,business,active,12/7/24,,,,,,,random,,,,,,,,,,,2348089722636,
Profile,business,active,12/12/24,Sole Proprietorship,,,,Neem,,,,,,,,,,,,,,
Profile,business,active,12/11/24,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2347039627810,
Profile,business,active,1/15/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,12/13/24,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2347039627810,
